arch,encoder,class_weights,n_runs,composite_score,dice_macro_mean,dice_macro_sd,dice_axon_mean,dice_axon_sd,dice_myelin_mean,dice_myelin_sd,dice_bg_mean,dice_bg_sd,iou_macro_mean,iou_macro_sd,iou_axon_mean,iou_axon_sd,iou_myelin_mean,iou_myelin_sd,iou_bg_mean,iou_bg_sd,precision_macro_mean,precision_macro_sd,precision_axon_mean,precision_axon_sd,precision_myelin_mean,precision_myelin_sd,precision_bg_mean,precision_bg_sd,recall_macro_mean,recall_macro_sd,recall_axon_mean,recall_axon_sd,recall_myelin_mean,recall_myelin_sd,recall_bg_mean,recall_bg_sd,hd95_macro_mean,hd95_macro_sd,hd95_myelin_axon_mean,hd95_myelin_axon_sd,hd95_axon_mean,hd95_axon_sd,hd95_myelin_mean,hd95_myelin_sd,hd95_bg_mean,hd95_bg_sd
manet,resnet34,"[3.0, 2.0, 2.0]",15,0.7231,0.8951,0.0154,0.8057,0.0719,0.7179,0.0779,0.9365,0.0117,0.814,0.0243,0.7236,0.07,0.605,0.0704,0.8832,0.0201,0.9036,0.0106,0.8286,0.055,0.7656,0.0525,0.9246,0.0242,0.8886,0.0209,0.8288,0.0716,0.7354,0.0801,0.9518,0.0157,15.0275,6.4004,17.7203,8.0144,18.7721,7.8939,16.6686,8.1869,9.6418,3.2509
manet,resnet34,"[3.0, 3.0, 1.0]",15,0.7305,0.8946,0.016,0.8088,0.0653,0.7259,0.0711,0.9347,0.0119,0.8129,0.0253,0.7249,0.0645,0.6113,0.0664,0.8801,0.0207,0.9021,0.0148,0.8486,0.0521,0.7481,0.0586,0.9255,0.0232,0.8885,0.0178,0.8149,0.0607,0.7603,0.0636,0.9474,0.0181,14.7024,5.2269,17.1652,6.5716,18.1408,6.6788,16.1895,6.5477,9.7769,2.7046
manet,resnet34,"[4.0, 1.0, 1.0]",15,0.726,0.8937,0.0153,0.8087,0.0697,0.715,0.0749,0.9358,0.0123,0.8119,0.024,0.7258,0.0687,0.5998,0.0688,0.8822,0.0212,0.9052,0.0114,0.8308,0.053,0.7772,0.051,0.9164,0.0265,0.8849,0.0195,0.8328,0.0639,0.7189,0.0693,0.9594,0.0136,14.6443,5.8378,17.2806,7.4465,18.5175,7.4051,16.0438,7.5312,9.3717,2.6911
manet,resnet50,"[1.0, 1.0, 1.0]",15,0.7172,0.8955,0.016,0.8045,0.0786,0.7159,0.087,0.9369,0.0113,0.8147,0.0252,0.7234,0.0759,0.6054,0.0772,0.8839,0.0196,0.9035,0.0108,0.8267,0.048,0.7713,0.0452,0.9261,0.0245,0.8897,0.0227,0.8327,0.075,0.7337,0.089,0.9511,0.0163,15.4947,8.8449,18.4407,11.1218,19.5208,11.1734,17.3606,11.1062,9.6027,4.3552
manet,resnet50,"[1.0, 1.0, 2.0]",15,0.7297,0.8962,0.0152,0.8113,0.0632,0.7212,0.0723,0.9372,0.012,0.8158,0.0241,0.729,0.0613,0.6093,0.0651,0.8845,0.0208,0.9022,0.012,0.8233,0.0456,0.7774,0.0373,0.9294,0.0253,0.8921,0.0204,0.8455,0.0663,0.7348,0.0783,0.9485,0.0166,14.451,5.4557,17.1712,6.9708,18.4327,7.0541,15.9096,6.9968,9.0107,2.5745
manet,resnet50,"[1.0, 1.0, 3.0]",15,0.7137,0.8938,0.0176,0.8058,0.0714,0.7135,0.0839,0.9365,0.0121,0.812,0.0275,0.7242,0.0694,0.6029,0.0741,0.8835,0.0208,0.9019,0.0115,0.8213,0.0439,0.7844,0.0436,0.9254,0.0249,0.8882,0.0245,0.8392,0.083,0.7218,0.0882,0.9516,0.0158,15.9412,8.5492,18.9085,10.5998,19.9499,10.2366,17.867,10.9958,10.0066,4.508
manet,resnet50,"[1.0, 2.0, 1.0]",15,0.7331,0.8964,0.0163,0.8127,0.0648,0.7304,0.0747,0.9361,0.0121,0.8158,0.0258,0.7296,0.0646,0.6188,0.0692,0.8826,0.0208,0.9012,0.0122,0.8411,0.0372,0.7566,0.0403,0.9328,0.0224,0.8927,0.0218,0.8269,0.0706,0.7623,0.0798,0.9425,0.0162,14.4934,5.9452,17.188,7.5195,18.3666,7.3881,16.0094,7.7061,9.1041,2.9276
manet,resnet50,"[1.0, 2.0, 2.0]",15,0.7351,0.8971,0.0158,0.8167,0.0608,0.7297,0.071,0.936,0.0124,0.8171,0.0249,0.7345,0.0596,0.617,0.0661,0.8825,0.0215,0.9004,0.0146,0.8337,0.0453,0.7575,0.0451,0.9342,0.0218,0.8948,0.0186,0.8395,0.0596,0.7616,0.0731,0.9411,0.0195,14.4737,5.6752,17.0511,7.072,17.9372,6.8063,16.165,7.3792,9.319,2.9829
manet,resnet50,"[1.0, 3.0, 1.0]",15,0.7297,0.8947,0.0165,0.8087,0.0656,0.7266,0.072,0.9332,0.0111,0.8132,0.0261,0.7259,0.0637,0.6131,0.0678,0.8777,0.0193,0.8989,0.0153,0.8487,0.0472,0.735,0.0557,0.9354,0.0261,0.8927,0.0211,0.8168,0.0642,0.7805,0.0793,0.9351,0.0227,14.6749,5.6785,17.3127,7.2409,18.7088,7.7739,15.9166,6.8101,9.3994,2.6628
manet,resnet50,"[2.0, 1.0, 1.0]",15,0.731,0.8962,0.0149,0.8093,0.0703,0.7208,0.0743,0.9366,0.0116,0.8157,0.0235,0.7281,0.0686,0.6084,0.0677,0.8835,0.02,0.9052,0.0119,0.8317,0.0497,0.7828,0.0543,0.9228,0.0251,0.8891,0.0188,0.8345,0.0664,0.7281,0.0688,0.9543,0.0144,14.3298,5.8489,16.8548,7.2143,17.7307,6.673,15.9788,7.8371,9.28,3.1714
